6.0,69.17,27.26,2024-08-08 05:53:44
6.0,69.14,27.26,2024-08-08 05:53:54
6.0,69.0,27.25,2024-08-08 05:54:04
6.0,68.87,27.25,2024-08-08 05:54:14
6.0,68.79,27.25,2024-08-08 05:54:24
6.0,68.67,27.24,2024-08-08 05:54:35
5.8,68.52,27.23,2024-08-08 05:54:45
5.8,68.51,27.23,2024-08-08 05:54:55
5.8,68.46,27.23,2024-08-08 05:55:05
12.6,69.1,26.92,2024-08-08 05:55:39
12.6,69.13,26.84,2024-08-08 05:55:49
13.4,69.42,26.73,2024-08-08 05:55:59
15.0,69.61,26.82,2024-08-08 05:56:09
16.0,69.32,27.62,2024-08-08 05:56:20
15.4,66.68,27.86,2024-08-08 05:56:30
14.0,65.84,27.77,2024-08-08 05:56:40
12.8,66.08,27.71,2024-08-08 05:56:50
12.0,66.39,27.55,2024-08-08 05:57:00
11.4,66.56,27.41,2024-08-08 05:57:10
11.2,66.74,27.29,2024-08-08 05:57:20
11.4,67.15,27.24,2024-08-08 05:57:30
12.4,67.36,27.2,2024-08-08 05:57:40
13.8,67.55,27.16,2024-08-08 05:57:50
15.2,68.18,27.2,2024-08-08 05:58:00
17.0,67.32,27.25,2024-08-08 05:58:10
15.8,67.05,27.18,2024-08-08 05:58:20
14.8,67.26,27.06,2024-08-08 05:58:30
14.4,67.52,27.0,2024-08-08 05:58:41
14.0,67.5,26.87,2024-08-08 05:58:51
13.6,67.8,26.77,2024-08-08 05:59:01
14.0,68.2,26.72,2024-08-08 05:59:11
15.0,68.34,26.69,2024-08-08 05:59:21
14.8,68.24,26.64,2024-08-08 05:59:31
14.6,68.36,26.6,2024-08-08 05:59:41
15.6,68.7,26.58,2024-08-08 05:59:51
16.0,68.66,26.57,2024-08-08 06:00:01
15.4,68.57,26.52,2024-08-08 06:00:11
15.2,68.51,26.5,2024-08-08 06:00:21
15.2,68.5,26.49,2024-08-08 06:00:31
15.6,68.56,26.46,2024-08-08 06:00:41
16.0,68.6,26.45,2024-08-08 06:00:51
16.4,68.65,26.48,2024-08-08 06:01:01
16.0,68.48,26.47,2024-08-08 06:01:11
15.4,68.39,26.41,2024-08-08 06:01:21
15.2,68.36,26.34,2024-08-08 06:01:31
15.2,68.48,26.33,2024-08-08 06:01:41
16.0,68.54,26.36,2024-08-08 06:01:52
15.8,68.4,26.34,2024-08-08 06:02:02
15.4,68.33,26.33,2024-08-08 06:02:12
15.4,68.39,26.32,2024-08-08 06:02:22
15.4,68.24,26.28,2024-08-08 06:02:32
15.0,68.27,26.26,2024-08-08 06:02:42
15.0,68.25,26.25,2024-08-08 06:02:52
14.8,68.23,26.24,2024-08-08 06:03:02
15.0,68.32,26.25,2024-08-08 06:03:12
15.2,68.19,26.23,2024-08-08 06:03:22
14.8,68.17,26.21,2024-08-08 06:03:32
14.8,68.19,26.2,2024-08-08 06:03:42
15.0,68.21,26.2,2024-08-08 06:03:52
15.0,68.19,26.2,2024-08-08 06:04:02
14.8,68.09,26.21,2024-08-08 06:04:12
14.8,68.19,26.22,2024-08-08 06:04:22
15.0,68.02,26.22,2024-08-08 06:04:32
14.6,67.97,26.2,2024-08-08 06:04:42
14.6,68.03,26.18,2024-08-08 06:04:52
14.8,68.08,26.18,2024-08-08 06:05:03
14.8,68.05,26.16,2024-08-08 06:05:13
14.8,68.03,26.16,2024-08-08 06:05:23
14.8,67.96,26.14,2024-08-08 06:05:33
14.6,67.9,26.14,2024-08-08 06:05:43
14.6,67.87,26.16,2024-08-08 06:05:53
14.6,67.87,26.16,2024-08-08 06:06:03
14.6,67.89,26.14,2024-08-08 06:06:13
14.6,67.8,26.15,2024-08-08 06:06:23
14.6,67.79,26.18,2024-08-08 06:06:33
14.6,67.68,26.19,2024-08-08 06:06:43
14.4,67.54,26.17,2024-08-08 06:06:53
14.2,67.48,26.17,2024-08-08 06:07:03
14.0,67.55,26.13,2024-08-08 06:07:13
14.4,67.65,26.13,2024-08-08 06:07:23
14.6,67.56,26.13,2024-08-08 06:07:34
14.6,67.56,26.15,2024-08-08 06:07:44
14.8,67.54,26.17,2024-08-08 06:07:54
14.8,67.5,26.17,2024-08-08 06:08:04
14.8,67.53,26.18,2024-08-08 06:08:14
15.0,67.51,26.2,2024-08-08 06:08:24
14.8,67.31,26.2,2024-08-08 06:08:34
14.4,67.31,26.17,2024-08-08 06:08:44
14.8,67.46,26.18,2024-08-08 06:08:54
15.0,67.42,26.19,2024-08-08 06:09:04
15.0,67.38,26.2,2024-08-08 06:09:14
15.0,67.39,26.2,2024-08-08 06:09:24
14.8,67.33,26.19,2024-08-08 06:09:34
14.6,67.25,26.19,2024-08-08 06:09:44
14.6,67.27,26.18,2024-08-08 06:09:54
14.6,67.23,26.2,2024-08-08 06:10:04
14.6,67.13,26.19,2024-08-08 06:10:14
14.4,67.06,26.19,2024-08-08 06:10:24
14.2,66.97,26.17,2024-08-08 06:10:35
14.0,66.89,26.12,2024-08-08 06:10:45
14.0,66.95,26.08,2024-08-08 06:10:55
14.2,67.03,26.07,2024-08-08 06:11:05
14.4,67.0,26.04,2024-08-08 06:11:15
14.6,66.99,26.03,2024-08-08 06:11:25
14.6,67.01,26.07,2024-08-08 06:11:35
14.8,67.01,26.08,2024-08-08 06:11:45
15.0,67.0,26.07,2024-08-08 06:11:55
15.0,67.08,26.1,2024-08-08 06:12:05
15.4,67.06,26.13,2024-08-08 06:12:15
15.2,66.88,26.13,2024-08-08 06:12:25
15.0,66.85,26.13,2024-08-08 06:12:35
15.0,66.88,26.14,2024-08-08 06:12:45
15.2,66.82,26.14,2024-08-08 06:12:56
15.2,66.83,26.14,2024-08-08 06:13:06
15.2,66.75,26.16,2024-08-08 06:13:16
15.0,66.7,26.15,2024-08-08 06:13:26
14.8,66.72,26.16,2024-08-08 06:13:36
15.2,66.79,26.16,2024-08-08 06:13:46
15.2,66.71,26.16,2024-08-08 06:13:56
14.8,66.52,26.13,2024-08-08 06:14:06
14.6,66.53,26.1,2024-08-08 06:14:16
14.8,66.63,26.12,2024-08-08 06:14:26
15.2,66.64,26.14,2024-08-08 06:14:36
15.2,66.51,26.16,2024-08-08 06:14:46
15.2,66.46,26.16,2024-08-08 06:14:56
15.0,66.34,26.11,2024-08-08 06:15:06
14.8,66.38,26.08,2024-08-08 06:15:16
15.0,66.43,26.07,2024-08-08 06:15:26
15.2,66.45,26.06,2024-08-08 06:15:37
15.6,66.58,26.08,2024-08-08 06:15:47
16.0,66.54,26.1,2024-08-08 06:15:57
15.8,66.45,26.12,2024-08-08 06:16:07
15.8,66.45,26.12,2024-08-08 06:16:17
15.8,66.45,26.14,2024-08-08 06:16:27
15.8,66.35,26.16,2024-08-08 06:16:37
15.4,66.27,26.13,2024-08-08 06:16:47
15.4,66.29,26.13,2024-08-08 06:16:57
15.4,66.31,26.14,2024-08-08 06:17:07
15.4,66.24,26.1,2024-08-08 06:17:17
15.4,66.27,26.09,2024-08-08 06:17:27
15.4,66.25,26.07,2024-08-08 06:17:37
15.4,66.28,26.05,2024-08-08 06:17:48
15.6,66.32,26.02,2024-08-08 06:17:58
15.8,66.37,26.04,2024-08-08 06:18:08
16.0,66.36,26.07,2024-08-08 06:18:18
16.0,66.29,26.08,2024-08-08 06:18:28
16.0,66.24,26.1,2024-08-08 06:18:38
15.8,66.17,26.12,2024-08-08 06:18:49
16.0,66.19,26.16,2024-08-08 06:18:59
16.0,66.01,26.16,2024-08-08 06:19:09
15.6,65.92,26.14,2024-08-08 06:19:19
15.4,65.88,26.13,2024-08-08 06:19:29
15.4,65.94,26.07,2024-08-08 06:19:39
15.6,66.01,26.05,2024-08-08 06:19:49
16.4,66.17,26.09,2024-08-08 06:19:59
17.0,66.12,26.11,2024-08-08 06:20:09
16.8,66.05,26.13,2024-08-08 06:20:19
16.4,65.98,26.14,2024-08-08 06:20:29
16.2,65.88,26.13,2024-08-08 06:20:39
15.8,65.87,26.12,2024-08-08 06:20:50
16.2,65.95,26.12,2024-08-08 06:21:00
16.4,65.93,26.13,2024-08-08 06:21:10
16.4,65.88,26.11,2024-08-08 06:21:20
16.2,65.88,26.12,2024-08-08 06:21:30
16.6,65.94,26.14,2024-08-08 06:21:40
16.4,65.79,26.12,2024-08-08 06:21:50
16.0,65.74,26.12,2024-08-08 06:22:00
16.2,65.79,26.11,2024-08-08 06:22:10
16.2,65.76,26.1,2024-08-08 06:22:20
16.0,65.68,26.05,2024-08-08 06:22:30
16.0,65.72,26.04,2024-08-08 06:22:40
16.0,65.71,26.01,2024-08-08 06:22:50
16.0,65.67,25.99,2024-08-08 06:23:01
16.2,65.77,25.98,2024-08-08 06:23:11
16.4,65.82,25.98,2024-08-08 06:23:21
16.6,65.82,25.96,2024-08-08 06:23:31
16.6,65.81,25.96,2024-08-08 06:23:41
16.6,65.81,25.97,2024-08-08 06:23:51
16.8,65.85,25.98,2024-08-08 06:24:01
17.2,65.89,26.01,2024-08-08 06:24:12
16.8,65.73,26.01,2024-08-08 06:24:22
16.4,65.69,26.0,2024-08-08 06:24:32
16.2,65.65,25.98,2024-08-08 06:24:42
16.2,65.65,25.98,2024-08-08 06:24:52
16.4,65.67,25.98,2024-08-08 06:25:02
16.8,65.66,26.0,2024-08-08 06:25:12
16.8,65.62,26.0,2024-08-08 06:25:22
16.6,65.63,25.96,2024-08-08 06:25:32
16.8,65.67,25.94,2024-08-08 06:25:42
17.0,65.68,25.96,2024-08-08 06:25:52
17.4,65.72,25.97,2024-08-08 06:26:03
17.2,65.65,25.97,2024-08-08 06:26:13
17.0,65.7,25.99,2024-08-08 06:26:23
17.4,65.7,26.01,2024-08-08 06:26:33
17.2,65.61,26.03,2024-08-08 06:26:43
16.6,65.52,26.03,2024-08-08 06:26:53
